model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
B_RAW,1,ATU1,180,2.95704554758,4.26441621227,,,,,,,,,,
B_RAW,1,ATU5,180,4.347054093,5.02170836857,,,,,,,,,,
B_RAW,1,MJ3,180,50.593260228,61.0455284952,,,,,,,,,,
B_RAW,1,MJ1,180,15.3111429584,18.6475262582,,,,,,,,,,
B_RAW,2,ATU1,179,2.97350799166,4.27631133028,,,,,,,,,,
B_RAW,2,ATU5,179,4.37036952843,5.0356992353,,,,,,,,,,
B_RAW,2,MJ3,179,50.8743609404,61.2158057584,,,,,,,,,,
B_RAW,2,MJ1,179,15.3956708703,18.6995368995,,,,,,,,,,
B_RAW,3,ATU1,178,2.99015885944,4.288306556,,,,,,,,,,
B_RAW,3,ATU5,178,4.39296624373,5.04975722177,,,,,,,,,,
B_RAW,3,MJ3,178,51.1567043163,61.3875020025,,,,,,,,,,
B_RAW,3,MJ1,178,15.4785031069,18.7519265334,,,,,,,,,,
B_RAW,4,ATU1,177,3.00701073551,4.30040331877,,,,,,,,,,
B_RAW,4,ATU5,177,4.41483357626,5.06384971766,,,,,,,,,,
B_RAW,4,MJ3,177,51.4405719149,61.5606306055,,,,,,,,,,
B_RAW,4,MJ1,177,15.5605120249,18.8046841813,,,,,,,,,,
B_RAW,5,ATU1,176,3.02397929038,4.31260279095,,,,,,,,,,
B_RAW,5,ATU5,176,4.43582693345,5.07792525834,,,,,,,,,,
B_RAW,5,MJ3,176,51.7255451378,61.7351950241,,,,,,,,,,
B_RAW,5,MJ1,176,15.6413647766,18.8577642572,,,,,,,,,,
B_RAW,6,ATU1,175,3.0408866473,4.32490415322,,,,,,,,,,
B_RAW,6,ATU5,175,4.45581131573,5.0919186912,,,,,,,,,,
B_RAW,6,MJ3,175,52.0114155204,61.9111969399,,,,,,,,,,
B_RAW,6,MJ1,175,15.7217241789,18.911190405,,,,,,,,,,
B_RAW,7,ATU1,174,3.05772211496,4.3373059948,,,,,,,,,,
B_RAW,7,ATU5,174,4.47471376877,5.10576353763,,,,,,,,,,
B_RAW,7,MJ3,174,52.2980832341,62.0886375804,,,,,,,,,,
B_RAW,7,MJ1,174,15.802281336,18.9650147008,,,,,,,,,,
B_RAW,8,ATU1,173,3.0745038785,4.34980764291,,,,,,,,,,
B_RAW,8,ATU5,173,4.49249116686,5.1193936368,,,,,,,,,,
B_RAW,8,MJ3,173,52.5852098907,62.2675060679,,,,,,,,,,
B_RAW,8,MJ1,173,15.8825649516,19.019191673,,,,,,,,,,
B_RAW,9,ATU1,172,3.09112799788,4.36240325935,,,,,,,,,,
B_RAW,9,ATU5,172,4.50900974986,5.13270991497,,,,,,,,,,
B_RAW,9,MJ3,172,52.8724597698,62.4477837137,,,,,,,,,,
B_RAW,9,MJ1,172,15.9626932456,19.0737274689,,,,,,,,,,
B_RAW,10,ATU1,171,3.10747087731,4.37508147845,,,,,,,,,,
B_RAW,10,ATU5,171,4.52411648331,5.14558901493,,,,,,,,,,
B_RAW,10,MJ3,171,53.1595076713,62.6294437513,,,,,,,,,,
B_RAW,10,MJ1,171,16.0428856254,19.1286436121,,,,,,,,,,
B_RAW,11,ATU1,170,3.12351113144,4.38783338659,,,,,,,,,,
B_RAW,11,ATU5,170,4.53773518076,5.15791929799,,,,,,,,,,
B_RAW,11,MJ3,170,53.4460679959,62.8124530565,,,,,,,,,,
B_RAW,11,MJ1,170,16.1230074723,19.1839223716,,,,,,,,,,
B_RAW,12,ATU1,169,3.13977650911,4.4007016244,,,,,,,,,,
B_RAW,12,ATU5,169,4.5501839339,5.16976788826,,,,,,,,,,
B_RAW,12,MJ3,169,53.7325574664,62.9968267112,,,,,,,,,,
B_RAW,12,MJ1,169,16.2033849145,19.2396043625,,,,,,,,,,
B_RAW,13,ATU1,168,3.15645895421,4.41370288153,,,,,,,,,,
B_RAW,13,ATU5,168,4.56160210748,5.18115371617,,,,,,,,,,
B_RAW,13,MJ3,168,54.0193482108,63.1825872722,,,,,,,,,,
B_RAW,13,MJ1,168,16.2845015835,19.2957568248,,,,,,,,,,
B_RAW,14,ATU1,167,3.17362800646,4.42684126099,,,,,,,,,,
B_RAW,14,ATU5,167,4.57203807248,5.19206316965,,,,,,,,,,
B_RAW,14,MJ3,167,54.3068737711,63.3697720312,,,,,,,,,,
B_RAW,14,MJ1,167,16.3672237327,19.3524985565,,,,,,,,,,
B_RAW,15,ATU1,166,3.19132559687,4.440117372,,,,,,,,,,
B_RAW,15,ATU5,166,4.58151022762,5.20247153434,,,,,,,,,,
B_RAW,15,MJ3,166,54.595734716,63.5584437922,,,,,,,,,,
B_RAW,15,MJ1,166,16.4531343829,19.4100134064,,,,,,,,,,
B_RAW,16,ATU1,165,3.20949209167,4.45352637849,,,,,,,,,,
B_RAW,16,ATU5,165,4.58995034625,5.21230411872,,,,,,,,,,
B_RAW,16,MJ3,165,54.8846376139,63.7484734968,,,,,,,,,,
B_RAW,16,MJ1,165,16.5374502749,19.4677377636,,,,,,,,,,
B_RAW,17,ATU1,164,3.22824543746,4.46707132316,,,,,,,,,,
B_RAW,17,ATU5,164,4.59741173678,5.22155884511,,,,,,,,,,
B_RAW,17,MJ3,164,55.1743989125,63.9399477095,,,,,,,,,,
B_RAW,17,MJ1,164,16.6225685397,19.5259626855,,,,,,,,,,
B_RAW,18,ATU1,163,3.24766268258,4.48075030638,,,,,,,,,,
B_RAW,18,ATU5,163,4.60393094956,5.23022851425,,,,,,,,,,
B_RAW,18,MJ3,163,55.4658164418,64.1329664362,,,,,,,,,,
B_RAW,18,MJ1,163,16.7109006764,19.5849917173,,,,,,,,,,
B_RAW,19,ATU1,162,3.26761304566,4.49455833712,,,,,,,,,,
B_RAW,19,ATU5,162,4.60953560681,5.23830389018,,,,,,,,,,
B_RAW,19,MJ3,162,55.7592106498,64.3275815026,,,,,,,,,,
B_RAW,19,MJ1,162,16.8030993435,19.6448513931,,,,,,,,,,
B_RAW,20,ATU1,161,3.28727044413,4.50848771008,,,,,,,,,,
B_RAW,20,ATU5,161,4.61425288387,5.24577864173,,,,,,,,,,
B_RAW,20,MJ3,161,56.0548177612,64.5238375248,,,,,,,,,,
B_RAW,20,MJ1,161,16.8995349067,19.7055088164,,,,,,,,,,
B_RAW,21,ATU1,160,3.30657490337,4.52252754668,,,,,,,,,,
B_RAW,21,ATU5,160,4.61811293275,5.25265170596,,,,,,,,,,
B_RAW,21,MJ3,160,56.3528164982,64.7217738709,,,,,,,,,,
B_RAW,21,MJ1,160,17.0003885845,19.7669005892,,,,,,,,,,
B_RAW,22,ATU1,159,3.32546027987,4.53666306537,,,,,,,,,,
B_RAW,22,ATU5,159,4.62115002972,5.25892831228,,,,,,,,,,
B_RAW,22,MJ3,159,56.6533705933,64.9214294228,,,,,,,,,,
B_RAW,22,MJ1,159,17.1058078459,19.8289541861,,,,,,,,,,
B_RAW,23,ATU1,158,3.3438930105,4.5508782911,,,,,,,,,,
B_RAW,23,ATU5,158,4.62336613615,5.26459063915,,,,,,,,,,
B_RAW,23,MJ3,158,56.9564952514,65.1228243559,,,,,,,,,,
